id,nome,empreendedor,uf,municipio,latitude,longitude,categoria_de_risco_-_cri,dano_potencial_associado_-_dpa,metodo_construtivo_da_back_up_dam
8910,POND 2 - BARRAGEM DE FLOTAÇÃO,NX GOLD S.A. Filial: NX GOLD S.A.,MT,NOVA XAVANTINA,-14.639193888888888,-52.501331944444445,Baixa,Alta,Não se aplica a esse tipo de barragem
8914,POND 3 - BARRAGEM DE FLOTAÇÃO,NX GOLD S.A. Filial: NX GOLD S.A.,MT,NOVA XAVANTINA,-14.64029888888889,-52.50102388888889,Baixa,Alta,Não se aplica a esse tipo de barragem
8580,DIQUE DO ESMERIL IV,CSN MINERACAO S.A.,MG,CONGONHAS,-20.485277777777778,-43.955000000000005,Baixa,Alta,Não se aplica a esse tipo de barragem
9148,Igarapé Mutum,COOPERMETAL - COOPERATIVA METALURGICA DE RONDONIA,RO,ARIQUEMES,-9.765406944444445,-63.52003083333333,Alta,Média,Não se aplica a esse tipo de barragem
9152,Rio Santa Cruz,COOPERMETAL - COOPERATIVA METALURGICA DE RONDONIA,RO,ARIQUEMES,-9.76586111111111,-63.568583333333336,Média,Média,Não se aplica a esse tipo de barragem
8822,BACIA DE DECANTAÇÃO DA USINA RIO FIORITA,GABRIELLA MINERACAO LTDA,SC,SIDERÓPOLIS,-28.577277777777777,-49.44219444444444,Baixa,Média,Não se aplica a esse tipo de barragem
9149,Jacaré Inferior,COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA,RO,ARIQUEMES,-9.787805555555556,-63.57516666666667,Alta,Alta,Não se aplica a esse tipo de barragem
7471,Mario Cruz,DEV MINERACAO S.A. - EM RECUPERACAO JUDICIAL,AP,PEDRA BRANCA DO AMAPARI,0.8008358333333334,-51.87452583333334,Média,Média,Não se aplica a esse tipo de barragem
8982,B5,EUROMAQUINAS MINERACAO LTDA,MT,NOVA LACERDA,-14.53711111111111,-59.770244444444444,Baixa,Alta,Não se aplica a esse tipo de barragem
10119,TQ 6301 A - POND 1 A,INDUSTRIAS NUCLEARES DO BRASIL S.A - INB,BA,CAETITÉ,-13.835227777777778,-42.281702777777774,Alta,Alta,Não se aplica a esse tipo de barragem
10120,TQ 6301 B - POND 1 B,INDUSTRIAS NUCLEARES DO BRASIL S.A - INB,BA,CAETITÉ,-13.834747222222223,-42.281169444444444,Alta,Alta,Não se aplica a esse tipo de barragem
10121,TQ 6302 - POND 2,INDUSTRIAS NUCLEARES DO BRASIL S.A - INB,BA,CAETITÉ,-13.835941666666667,-42.28261944444444,Alta,Alta,Não se aplica a esse tipo de barragem
10122,TQ 6303 - POND 3,INDUSTRIAS NUCLEARES DO BRASIL S.A - INB,BA,CAETITÉ,-13.836108333333334,-42.284283333333335,Alta,Alta,Não se aplica a esse tipo de barragem
10256,Bacia de Rejeito Não Magnético 06,LARGO VANADIO DE MARACAS S.A,BA,MARACÁS,-14.161150555555556,-41.159390555555554,Baixa,Média,Não se aplica a esse tipo de barragem
9836,TUPA 2,GINEZ GIMENES NETO,MT,POCONÉ,-16.027080555555553,-56.5248,Média,Baixa,Não se aplica a esse tipo de barragem
9837,TUPA 3,GINEZ GIMENES NETO,MT,POCONÉ,-16.024538888888888,-56.521163888888886,Média,Média,Não se aplica a esse tipo de barragem
8723,Barragem de rejeito não magnético 02,LARGO VANADIO DE MARACAS S.A,BA,MARACÁS,-13.686736388888889,-40.69166166666666,Baixa,Média,Não se aplica a esse tipo de barragem
8724,Barragem de rejeito não magnético 03,LARGO VANADIO DE MARACAS S.A,BA,MARACÁS,-13.68725,-40.689138888888884,Baixa,Média,Não se aplica a esse tipo de barragem
9383,Barragem de Rejeito Não Magnético 04,LARGO VANADIO DE MARACAS S.A,BA,MARACÁS,-13.68993611111111,-40.69147222222222,Baixa,Média,Não se aplica a esse tipo de barragem
9151,Jacaré Superior,COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA,RO,ARIQUEMES,-9.817,-63.55319444444444,Alta,Alta,Não se aplica a esse tipo de barragem
9150,Jacaré Medio,COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA,RO,ARIQUEMES,-9.7955,-63.56527777777777,Média,Alta,Não se aplica a esse tipo de barragem
9551,Berion,COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL,MT,PONTES E LACERDA,-15.132683333333334,-59.371611111111115,Média,Média,Não se aplica a esse tipo de barragem
9921,BIG BERION,COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL,MT,PONTES E LACERDA,-15.129725,-59.36935277777778,Média,Média,Não se aplica a esse tipo de barragem
9552,Campos,COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL,MT,PONTES E LACERDA,-15.13543611111111,-59.376958333333334,Média,Baixa,Não se aplica a esse tipo de barragem
9125,B1,MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.,PA,PARAGOMINAS,-3.265273888888889,-47.753166666666665,Baixa,Alta,Não se aplica a esse tipo de barragem
10260,Manga,COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL,MT,PONTES E LACERDA,-15.130688888888889,-59.379419444444444,Média,Baixa,Não se aplica a esse tipo de barragem
9127,B5,MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.,PA,PARAGOMINAS,-3.275,-47.736333333333334,Baixa,Baixa,Não se aplica a esse tipo de barragem
9128,B6,MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.,PA,PARAGOMINAS,-3.2594944444444445,-47.75816666666667,Baixa,Alta,Não se aplica a esse tipo de barragem
9197,RP1,MINERACAO PARAGOMINAS S.A.,PA,PARAGOMINAS,-3.2648444444444444,-47.72116666666667,Baixa,Média,Não se aplica a esse tipo de barragem
10287,SANTA RITA,ADRIANO JOSE DE MOURA SOUSA,GO,NIQUELÂNDIA,-14.415972222222223,-48.25553611111111,Alta,Baixa,Não se aplica a esse tipo de barragem
8741,BARRAGEM DE CONTENÇÃO DE REJEITOS,ITAFOS ARRAIAS MINERACAO E FERTILIZANTES S.A.,TO,ARRAIAS,-12.895818888888888,-46.81811777777778,Alta,Alta,Não se aplica a esse tipo de barragem
8569,BARRAGEM DE REJEITOS,CIMENTO TUPI S.A. EM RECUPERACAO JUDICIAL,RJ,QUATIS,-22.455055555555553,-44.28619444444444,Baixa,Baixa,Não se aplica a esse tipo de barragem
8616,DIQUE DO BICHENTO IIIA,CSN MINERACAO S.A.,MG,CONGONHAS,-20.485,-43.93333333333333,Baixa,Média,Não se aplica a esse tipo de barragem
9553,Elvo 1,COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE PONTES E LACERDA - COMPEL,MT,PONTES E LACERDA,-15.135091666666666,-59.37916111111111,Média,Baixa,Não se aplica a esse tipo de barragem
10128,BR02,MINERACAO ABDALA LTDA,MT,NOSSA SENHORA DO LIVRAMENTO,-15.689327777777779,-56.35328055555556,Alta,Alta,Não se aplica a esse tipo de barragem
8629,Bacia de Rejeitos,MINERACAO ABDALA LTDA,MT,NOSSA SENHORA DO LIVRAMENTO,-15.687977777777778,-56.35111666666667,Alta,Alta,Não se aplica a esse tipo de barragem
9216,CAVA B,YARA BRASIL FERTILIZANTES S/A Filial: YARA BRASIL FERTILIZANTES S/A,MG,LAGAMAR,-18.27986111111111,-46.86211111111111,Baixa,Baixa,Não se aplica a esse tipo de barragem
8820,Barragem 01,SAMACA FERROS LTDA,BA,MAIQUINIQUE,-15.777333333333335,-40.32233333333334,Alta,Média,Não se aplica a esse tipo de barragem
8821,Barragem 02,SAMACA FERROS LTDA,BA,MAIQUINIQUE,-15.778333333333334,-40.31783333333334,Alta,Média,Não se aplica a esse tipo de barragem
9000,BARRAGEM REJEITOS,Extrativa Metalurgia S A,MG,FORTALEZA DE MINAS,-20.89286111111111,-46.70527777777778,Alta,Alta,Não se aplica a esse tipo de barragem
9988,DIQUE 2,SAMACA FERROS LTDA,BA,MAIQUINIQUE,-15.780347222222224,-40.31443055555555,Alta,Média,Não se aplica a esse tipo de barragem
8823,ITAPEVA,SAMACA FERROS LTDA,SP,RIBEIRÃO BRANCO,-24.25375,-48.91597222222222,Alta,Baixa,Não se aplica a esse tipo de barragem
9277,Belíssima,COOPERATIVA DOS GARIMPEIROS DE SANTA CRUZ - COOPERSANTA,RO,ARIQUEMES,-9.792790833333333,-63.55968583333333,Alta,Média,Não se aplica a esse tipo de barragem
9266,Barragem 1,MORRO AGUDO MINERAIS LTDA,MG,PARACATU,-17.496333333333336,-46.81883333333334,Baixa,Alta,Não se aplica a esse tipo de barragem
9267,Barragem 2,MORRO AGUDO MINERAIS LTDA,MG,PARACATU,-17.510666666666665,-46.82833333333333,Baixa,Alta,Não se aplica a esse tipo de barragem
9268,Barragem 3,MORRO AGUDO MINERAIS LTDA,MG,PARACATU,-17.513333333333332,-46.82833333333333,Baixa,Alta,Não se aplica a esse tipo de barragem
8860,Bacia de Acumulação 01,CARBONIFERA SIDEROPOLIS LTDA,SC,URUSSANGA,-28.453611111111112,-49.37027777777778,Alta,Alta,Não se aplica a esse tipo de barragem
8489,TANQUE DE DECANTAÇÃO,T B K - MINERACAO LIMITADA,SP,MONTE MOR,-22.93841666666667,-47.24025,Alta,Média,Não se aplica a esse tipo de barragem
9355,Barragem do Bandeira,BURITIRAMA MINERACAO S.A. FALIDO,PA,MARABÁ,-5.5125,-50.222500000000004,Alta,Média,Não se aplica a esse tipo de barragem
9765,Dique do Grotão,BURITIRAMA MINERACAO S.A. FALIDO,PA,MARABÁ,-5.509079722222222,-50.23345194444445,Alta,Baixa,Não se aplica a esse tipo de barragem
9780,Bacia do Castanheira,BURITIRAMA MINERACAO S.A. FALIDO,PA,MARABÁ,-5.5135861111111115,-50.235533333333336,Alta,Baixa,Não se aplica a esse tipo de barragem
9317,Barragem B1 - Mina Ipê,MINERACAO MORRO DO IPE S.A.,MG,BRUMADINHO,-20.119805555555555,-44.307472222222216,Baixa,Alta,Não se aplica a esse tipo de barragem
9320,Barragem B2 - Mina Tico-Tico,MINERACAO MORRO DO IPE S.A.,MG,IGARAPÉ,-20.110430555555556,-44.28667222222222,Média,Alta,Não se aplica a esse tipo de barragem
9319,Barragem B1-Auxiliar - Mina Tico-Tico,MINERACAO MORRO DO IPE S.A.,MG,IGARAPÉ,-20.103527777777778,-44.28819444444444,Baixa,Alta,Não se aplica a esse tipo de barragem
9439,Barragem CBC,COMPANHIA BRASILEIRA DO COBRE,RS,CAÇAPAVA DO SUL,-30.919777777777778,-53.41804166666667,Alta,Média,Não se aplica a esse tipo de barragem
9393,BARRAGEM GEOMINAS,Geominas Minerações Ltda.,TO,NATIVIDADE,-11.647416666666667,-47.67673333333333,Baixa,Média,Não se aplica a esse tipo de barragem
10514,SP-23,MINERACAO RIO DO NORTE SA,PA,ORIXIMINÁ,-1.679786111111111,-56.49684166666667,Baixa,Baixa,Não se aplica a esse tipo de barragem
8462,Barragem B,PATOS DE MINAS FOSFATADOS LTDA,MG,PATOS DE MINAS,-18.38088888888889,-46.92719444444444,Baixa,Alta,Não se aplica a esse tipo de barragem
8450,Barragem A,PATOS DE MINAS FOSFATADOS LTDA,MG,PATOS DE MINAS,-18.37902777777778,-46.92647222222222,Baixa,Alta,Não se aplica a esse tipo de barragem
8454,Barragem C,PATOS DE MINAS FOSFATADOS LTDA,MG,PATOS DE MINAS,-18.379805555555556,-46.93283333333333,Baixa,Alta,Não se aplica a esse tipo de barragem
10515,Barragem Célula 02,BRAZAURO RECURSOS MINERAIS S.A.,PA,ITAITUBA,-6.037722222222222,-56.29325,Baixa,Baixa,Não se aplica a esse tipo de barragem
10517,TQ 63102 - Bacia de Águas Pluviais,INDUSTRIAS NUCLEARES DO BRASIL S.A - INB,BA,CAETITÉ,-13.837758333333333,-42.275305555555555,Alta,Alta,Não se aplica a esse tipo de barragem
10518,BARRAGEM DE MINERAÇÃO HUMBERTO,HUMBERTO AFFONSO DEL NERY,MT,NOSSA SENHORA DO LIVRAMENTO,-15.88118888888889,-56.34636666666667,Média,Baixa,Não se aplica a esse tipo de barragem
10520,Dique 118-A,SALOBO METAIS S/A,PA,CANAÃ DOS CARAJÁS,-6.393283333333334,-50.11250277777778,Baixa,Baixa,Não se aplica a esse tipo de barragem
10521,Dique 118-B,SALOBO METAIS S/A,PA,CANAÃ DOS CARAJÁS,-6.400705555555556,-50.11568055555556,Baixa,Baixa,Não se aplica a esse tipo de barragem
10524,Barragem Barba 02,CLEOMENES SANTOS SILVA,MT,POCONÉ,-16.25754166666667,-56.65547222222222,Média,Baixa,Não se aplica a esse tipo de barragem
10525,Dique do Puma 10,MINERACAO ONCA PUMA S.A.,PA,PARAUAPEBAS,-6.440666666666667,-51.05751111111111,Baixa,Baixa,Não se aplica a esse tipo de barragem
8373,Norte/Laranjeiras,VALE S.A.,MG,BARÃO DE COCAIS,-19.84834222222222,-43.42172055555555,Baixa,Alta,Não se aplica a esse tipo de barragem
9352,Barragem Mãe D'Água,GREEN METALS NOVA ERA SOLUCOES AMBIENTAIS S.A,MG,NOVA ERA,-19.60171388888889,-43.029916666666665,Alta,Alta,Não se aplica a esse tipo de barragem
10526,CPO1,COOPERATIVA DE EXTRACAO DE METAIS E PEDRAS PRECIOSAS DE PONTES E LACERDA-MT,MT,PONTES E LACERDA,-14.968652777777779,-59.525077777777774,Baixa,Baixa,Não se aplica a esse tipo de barragem
8180,Dique de Contenção de Salmoura,STRATOS LTDA,SE,ROSÁRIO DO CATETE,-10.657833333333334,-37.02983333333333,Baixa,Média,Não se aplica a esse tipo de barragem
8181,Dique de Resíduos Insóluveis ,STRATOS LTDA,SE,ROSÁRIO DO CATETE,-10.657333333333334,-37.03133333333333,Baixa,Média,Não se aplica a esse tipo de barragem
9186,Barragem Sul,VETRIA MINERACAO S.A.,MS,CORUMBÁ,-19.205527777777778,-57.635305555555554,Baixa,Alta,Não se aplica a esse tipo de barragem
8183,BARRAGEM DE LIXIVIAÇÃO,SANTA LUZ DESENVOLVIMENTO MINERAL LTDA,BA,SANTALUZ,-11.003638888888888,-39.30083333333333,Baixa,Alta,Não se aplica a esse tipo de barragem
10533,Dique II ,CSN MINERACAO S.A.,MG,CONGONHAS,-20.51338888888889,-43.90558055555555,Baixa,Baixa,Não se aplica a esse tipo de barragem
10537,Dique Córrego Fundo,ARCELORMITTAL BRASIL S.A.,MG,ITATIAIUÇU,-20.139174999999998,-44.40116666666667,Baixa,Baixa,Não se aplica a esse tipo de barragem
8907,Barragem MCSA,MINERACAO CARAIBA S/A,BA,JAGUARARI,-9.835730555555557,-39.824488888888894,Baixa,Média,Não se aplica a esse tipo de barragem
